# id	left	top	right	bottom	texture_id
[SPRITES]

#GROUND
71000	86	37	101	52	30
72000	104	37	119	52	30
73000	122	37	137	52	30
74000	86	55	101	70	30
75000	104	55	119	70	30
76000	122	55	137	70	30

70001	1766	73	1781	88	30
70002	1784	73	1799	88	30
70003	1802	73	1817	88	30
70004	1766	91	1781	106	30
70005	1784	91	1799	106	30
70006	1802	91	1817	106	30

#STRIPED GROUND MAP4
70007	1706	37	1721	52	30
70008	1724	37	1739	52	30
70009	1742	37	1757	52	30
70010	1706	55	1721	70	30
70011	1724	55	1739	70	30
70012	1742	55	1757	70	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
