# id	left	top	right	bottom	texture_id
[SPRITES]
#Frame
510000	0	0	330	60	100

#Numbers 
500000	33	32	40	37	80
500001	44	32	49	37	80
500002	53	32	60	37	80
500003	63	32	70	37	80
500004	73	32	80	37	80
500005	83	32	90	37	80
500006	93	32	100	37	80
500007	103	32	110	37	80
500008	113	32	120	37	80
500009	123	32	130	37	80

#BasicCard
500010	163	3	234	30	80

#CARDS
500011	187	33	210	60	80
500012	211	33	234	60	80
500013	235	33	258	60	80

#M&L
500014	8	43	23	48	80

#Arrow
500020	3	33	10	39	80
500021	12	33	27	40	80

500022	616	25	623	32	90
500023	636	25	651	32	90

#LETTERS
600000	113	52	120	59	80
600001	33	52	40	59	80
600002	63	52	70	59	80
600003	123	42	130	49	80
600004	43	42	50	49	80

#dollar
500016	568.5	43	575.5	50	90
#Time
500015	569	34	576	41	90
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
510000	510000	100
